Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Geomagnetic latitude (deg),Magnetic local time,Solar zenith angle (deg),"Colours, naked eye","Colours, camera",Special forms
2024-05-10 20:22:00+00:00,7.1,52.8,49.1,21.4,98.7,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 21:00:00+00:00,7.1,53.1,49.4,22.0,102.2,"green,purple/pink/magenta","green,purple/pink/magenta",STEVE
2024-05-10 22:58:00+00:00,4.4,52.1,48.3,23.8,109.4,"red,green","red,green",
2024-05-10 21:59:00+00:00,5.2,51.4,47.4,22.8,107.5,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:50:00+00:00,-1.9,55.0,51.8,23.3,105.4,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:33:00+00:00,-1.4,50.9,46.9,23.0,108.4,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:00:00+00:00,-1.5,52.3,48.6,22.5,104.9,red,,
2024-05-11 22:30:00+00:00,10.4,53.6,50.0,23.7,107.6,purple/pink/magenta,purple/pink/magenta,
2024-05-10 21:50:00+00:00,8.0,51.9,48.1,22.9,107.2,"red,green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11 22:50:00+00:00,-1.4,50.9,47.0,23.3,109.1,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-09 23:00:00+00:00,-1.4,50.9,47.0,23.4,110.1,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:15:00+00:00,4.5,52.3,48.5,23.1,107.5,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:15:00+00:00,-1.4,50.9,47.0,22.7,107.3,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:44:00+00:00,-1.4,50.9,47.0,23.2,109.0,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:30:00+00:00,-4.3,55.9,53.0,22.9,103.0,"red,blue","blue,purple/pink/magenta",STEVE
2024-05-10 22:30:00+00:00,5.5,52.3,48.5,23.4,108.4,purple/pink/magenta,"green,blue,purple/pink/magenta",
2024-05-10 22:05:00+00:00,4.4,52.2,48.4,22.9,106.9,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:15:00+00:00,4.5,52.2,48.4,23.1,107.6,purple/pink/magenta,"green,blue,purple/pink/magenta",
2024-05-10 22:30:00+00:00,25.0,60.2,57.2,0.6,101.8,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:30:00+00:00,-3.2,56.2,53.4,23.0,103.0,,"green,blue,purple/pink/magenta",
2024-05-11 00:30:00+00:00,4.9,52.4,48.7,1.3,108.7,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 21:36:00+00:00,6.2,52.1,48.3,22.5,105.5,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 21:30:00+00:00,5.6,52.3,48.5,22.4,104.8,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 23:15:00+00:00,5.0,52.1,48.3,0.1,109.8,"red,green,blue,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:30:00+00:00,8.1,46.4,41.4,23.4,114.5,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 00:10:00+00:00,-5.6,55.4,52.6,0.4,106.9,"red,green",,
2024-05-11 02:50:00+00:00,-81.2,43.5,52.6,21.7,109.5,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:20:00+00:00,-4.3,55.8,53.0,22.7,102.4,,"green,purple/pink/magenta",
2024-05-10 22:30:00+00:00,-1.9,55.0,51.8,23.0,104.4,"green,purple/pink/magenta","green,purple/pink/magenta",STEVE
2024-05-10 21:15:00+00:00,4.7,51.9,48.0,22.1,103.6,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:16:00+00:00,6.6,52.4,48.6,21.2,98.1,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:10:00+00:00,5.9,51.8,47.9,23.1,108.0,"red,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:00:00+00:00,-4.3,55.8,53.0,22.4,101.1,purple/pink/magenta,"green,purple/pink/magenta",
1900-01-01 00:00:00+00:00,4.6,51.8,,,,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 22:13:00+00:00,5.2,52.4,48.6,23.1,107.4,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 21:05:00+00:00,4.9,52.6,48.8,22.0,102.2,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 21:30:00+00:00,4.6,52.3,48.5,22.3,104.5,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 21:20:00+00:00,-2.0,53.5,50.1,21.8,100.4,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 22:22:00+00:00,-1.6,55.0,51.9,22.9,104.0,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 20:40:00+00:00,3.5,51.6,47.6,21.4,100.0,"green,purple/pink/magenta","red,green,purple/pink/magenta",STEVE
2024-05-10 20:30:00+00:00,16.0,45.9,41.1,21.9,108.5,"red,purple/pink/magenta","red,purple/pink/magenta",
2024-05-11 06:30:00+00:00,170.5,-45.9,-53.1,18.8,102.1,"green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:30:00+00:00,9.7,44.2,38.7,23.5,117.0,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11 04:30:00+00:00,-112.7,50.9,57.8,20.5,100.9,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:15:00+00:00,77.6,34.2,30.7,1.8,123.8,purple/pink/magenta,"red,purple/pink/magenta",
2024-05-10 21:30:00+00:00,-3.2,55.9,53.1,22.0,98.9,"green,purple/pink/magenta","green,purple/pink/magenta",Dunes
2024-05-11 02:30:00+00:00,-79.8,37.4,46.7,21.5,112.3,red,"red,green",
2024-05-11 02:37:00+00:00,-92.5,47.2,56.4,20.5,99.7,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11 02:02:00+00:00,-78.8,43.0,51.9,21.2,105.1,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 08:20:00+00:00,-122.3,47.3,52.6,23.6,114.6,"green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-11 02:02:00+00:00,-83.4,42.5,51.8,20.8,102.9,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 22:00:00+00:00,9.2,46.5,41.5,23.0,113.1,"red,purple/pink/magenta","red,purple/pink/magenta",
